subject-session,accMDM,accENLR
subject_01_session_01,0.66547,0.80057
subject_01_session_02,0.63191,0.75797
subject_02_session_01,0.93655,0.95093
subject_02_session_02,0.96934,0.97996
subject_03_session_01,0.81304,0.88933
subject_03_session_02,0.87898,0.96371
subject_04_session_01,0.90899,0.90229
subject_04_session_02,0.91402,0.95829
subject_05_session_01,0.83165,0.87361
subject_05_session_02,0.73079,0.80874
subject_06_session_01,0.87203,0.90775
subject_06_session_02,0.8453,0.86045
subject_07_session_01,0.87996,0.92164
subject_07_session_02,0.75422,0.92383
subject_08_session_01,0.58425,0.75614
subject_08_session_02,0.58927,0.80523
subject_09_session_01,0.92402,0.92171
subject_09_session_02,0.82142,0.84505
subject_10_session_01,0.68187,0.86196
subject_10_session_02,0.60498,0.83922
subject_11_session_01,0.97282,0.974
subject_11_session_02,0.96253,0.96938
subject_12_session_01,0.91146,0.96092
subject_12_session_02,0.91445,0.95455
subject_13_session_01,0.75219,0.95033
subject_13_session_02,0.8121,0.96436
subject_14_session_01,0.78787,0.89041
subject_14_session_02,0.72689,0.83951
subject_15_session_01,0.81654,0.9348
subject_15_session_02,0.84148,0.90506
subject_16_session_01,0.56977,0.88564
subject_16_session_02,0.5548,0.90455
subject_17_session_01,0.71455,0.89061
subject_17_session_02,0.60752,0.80872
subject_18_session_01,0.7971,0.84613
subject_18_session_02,0.88666,0.90944
subject_19_session_01,0.94036,0.93786
subject_19_session_02,0.86153,0.96146
subject_20_session_01,0.78844,0.94799
subject_20_session_02,0.69249,0.859
subject_21_session_01,0.97168,0.97793
subject_21_session_02,0.88539,0.90696
subject_22_session_01,0.70688,0.94834
subject_22_session_02,0.602,0.88757
subject_23_session_01,0.71033,0.73332
subject_23_session_02,0.562,0.66879
subject_24_session_01,0.84856,0.95561
subject_24_session_02,0.75213,0.92645
subject_25_session_01,0.74277,0.89433
subject_25_session_02,0.73336,0.91343
subject_26_session_01,0.75918,0.92385
subject_26_session_02,0.91202,0.95467
subject_27_session_01,0.93327,0.94742
subject_27_session_02,0.95618,0.96789
subject_28_session_01,0.5952,0.88444
subject_28_session_02,0.83791,0.96519
subject_29_session_01,0.68998,0.88764
subject_29_session_02,0.73017,0.94432
subject_30_session_01,0.83495,0.91648
subject_30_session_02,0.85777,0.95318
subject_31_session_01,0.93845,0.96555
subject_31_session_02,0.96965,0.97402
subject_32_session_01,0.80235,0.98963
subject_32_session_02,0.88871,0.95469
subject_33_session_01,0.71146,0.92346
subject_33_session_02,0.67758,0.88242
subject_34_session_01,0.5729,0.84606
subject_34_session_02,0.84354,0.95893
subject_35_session_01,0.84295,0.95782
subject_35_session_02,0.82273,0.94125
subject_36_session_01,0.96605,0.97867
subject_36_session_02,0.91164,0.9652
subject_37_session_01,0.68573,0.88773
subject_37_session_02,0.83494,0.95941
subject_38_session_01,0.811,0.93951
subject_38_session_02,0.72863,0.8382
subject_39_session_01,0.6683,0.84411
subject_39_session_02,0.60524,0.822
subject_40_session_01,0.69414,0.88985
subject_40_session_02,0.90139,0.9475
subject_41_session_01,0.80868,0.97686
subject_41_session_02,0.8933,0.95404
subject_42_session_01,0.89799,0.95681
subject_42_session_02,0.8442,0.86092
subject_43_session_01,0.92675,0.96475
subject_43_session_02,0.95994,0.97576
subject_44_session_01,0.93004,0.98891
subject_44_session_02,0.95339,0.98645
subject_45_session_01,0.87347,0.91644
subject_45_session_02,0.94619,0.95206
subject_46_session_01,0.82785,0.85897
subject_46_session_02,0.74772,0.8907
subject_47_session_01,0.75913,0.965
subject_47_session_02,0.80179,0.94835
subject_48_session_01,0.73942,0.92519
subject_48_session_02,0.72339,0.90364
subject_49_session_01,0.63728,0.93442
subject_49_session_02,0.61837,0.93623
subject_50_session_01,0.78697,0.88933
subject_50_session_02,0.75322,0.81892
subject_51_session_01,0.78505,0.89033
subject_51_session_02,0.66557,0.81448
subject_52_session_01,0.61183,0.89628
subject_52_session_02,0.60969,0.96605
subject_53_session_01,0.62756,0.93338
subject_53_session_02,0.86212,0.93003
subject_54_session_01,0.68882,0.84598
subject_54_session_02,0.73992,0.82995
