subject-session,accMDM,accENLR
subject_01_session_01,0.67554,0.6826
subject_03_session_01,0.9181,0.89792
subject_04_session_01,0.91488,0.86895
subject_05_session_01,0.85288,0.80208
subject_06_session_01,0.79229,0.83488
subject_07_session_01,0.82586,0.78983
subject_08_session_01,0.83075,0.81815
subject_09_session_01,0.81556,0.81222
subject_10_session_01,0.83425,0.94949
subject_11_session_01,0.87013,0.88647
subject_12_session_01,0.78158,0.7685
subject_13_session_01,0.82111,0.84222
subject_14_session_01,0.78653,0.81535
subject_15_session_01,0.87799,0.88989
subject_16_session_01,0.79491,0.85963
subject_17_session_01,0.78696,0.86092
subject_18_session_01,0.77514,0.80637
subject_19_session_01,0.81222,0.79111
subject_20_session_01,0.86268,0.85511
subject_22_session_01,0.79325,0.80198
subject_23_session_01,0.73838,0.82484
subject_24_session_01,0.82045,0.84978
subject_25_session_01,0.83319,0.83938
subject_26_session_01,0.91333,0.94167
subject_27_session_01,0.73193,0.73358
subject_28_session_01,0.71091,0.76948
subject_29_session_01,0.76326,0.82083
subject_30_session_01,0.77458,0.88333
subject_31_session_01,0.66333,0.71333
subject_32_session_01,0.81833,0.795
subject_33_session_01,0.78889,0.79889
subject_34_session_01,0.84201,0.89115
subject_35_session_01,0.71717,0.66456
subject_37_session_01,0.78381,0.84242
subject_38_session_01,0.80259,0.834
subject_39_session_01,0.74896,0.74593
subject_40_session_01,0.83188,0.82113
subject_41_session_01,0.72446,0.73817
subject_42_session_01,0.68639,0.70993
subject_43_session_01,0.88833,0.88333
